"","year","state","county","total","male","female","over 65 male","over 65 female","under 21 male","under 21 female"
"351",2009,"18","025",10795,5370,5425,703,773,1469,1480
"352",2009,"18","027",30205,15088,15117,1748,2456,5173,4798
"353",2009,"18","029",49608,24672,24936,2601,3438,7596,7328
"354",2009,"18","031",25066,12407,12659,1502,2028,3877,3636
"355",2009,"18","033",41759,20847,20912,2187,3009,6640,6364
"356",2009,"18","035",115548,55295,60253,6911,9653,18664,20437
"357",2009,"18","037",41207,20450,20757,2334,3371,6340,6275
"358",2009,"18","039",197851,98828,99023,9245,12550,34177,32612
"359",2009,"18","041",24313,11780,12533,1613,2287,3411,3325
"360",2009,"18","043",73031,35154,37877,3785,5398,10683,10531
"361",2009,"01","001",49584,24057,25527,2356,3105,8437,8179
"362",2009,"01","003",171997,84263,87734,13112,15561,24392,23037
"363",2009,"01","005",29663,15687,13976,1561,2373,4378,4081
"364",2009,"01","007",21464,11164,10300,1177,1582,2960,3057
"365",2009,"01","009",56804,28216,28588,3458,4504,8748,8190
"366",2009,"01","011",10917,6165,4752,481,767,2034,1323
"367",2009,"01","013",20189,9517,10672,1263,1996,3135,2877
"368",2009,"01","015",112969,53981,58988,6590,9909,16519,16120
"369",2009,"01","017",34704,16425,18279,2187,3440,4877,4841
"370",2009,"01","019",24427,11996,12431,1873,2399,3129,2841
"371",2009,"01","021",42272,20933,21339,2386,3107,6565,6015
"372",2009,"01","023",14229,6690,7539,1015,1369,2024,2074
"373",2009,"01","025",26438,12583,13855,1677,2317,4444,4328
"374",2009,"01","027",13769,6704,7065,1079,1685,1812,1706
"375",2009,"01","029",14579,7320,7259,973,1243,2174,1897
"376",2009,"01","031",46802,22707,24095,2777,3947,6918,6501
"377",2009,"01","033",54546,26111,28435,3662,5280,7747,7080
"378",2009,"01","035",13114,6432,6682,918,1282,2151,1769
"379",2009,"01","037",10777,5467,5310,797,996,1555,1094
"380",2009,"01","039",36688,17730,18958,2810,3989,5302,5139
"381",2009,"01","041",13687,6518,7169,915,1417,1960,1847
"382",2009,"01","043",80630,39882,40748,5254,7115,11795,11056
"383",2009,"01","045",48233,23797,24436,2613,3596,8103,6708
"384",2009,"01","047",42748,19546,23202,2373,3739,7114,7050
"385",2009,"01","049",68183,33582,34601,3885,5636,10394,9765
"386",2009,"01","051",76714,38793,37921,3780,4993,12094,11069
"387",2009,"01","053",37561,19087,18474,2221,3216,5618,5189
"388",2009,"01","055",103150,49448,53702,6458,9824,14668,14246
"389",2009,"01","057",17651,8490,9161,1237,1760,2523,2350
"390",2009,"01","059",30847,15364,15483,1946,2686,4832,4208
"391",2009,"01","061",25800,12531,13269,1786,2626,3678,3396
"392",2009,"01","063",9112,4361,4751,573,807,1609,1157
"393",2009,"01","065",17994,9093,8901,940,1433,3122,2662
"394",2009,"01","067",16580,8110,8470,1103,1676,2545,2286
"395",2009,"01","069",97091,46220,50871,5854,8640,14943,14068
"396",2009,"01","071",52898,25754,27144,3465,4641,7417,6749
"397",2009,"01","073",662212,313595,348617,34224,54402,98699,94849
"398",2009,"01","075",14438,7061,7377,1029,1495,2093,1757
"399",2009,"01","077",88550,42113,46437,6021,8540,11895,12004
"400",2009,"01","079",34094,16797,17297,1925,2462,4924,4503
"401",2009,"01","081",130669,64714,65955,4686,6492,24836,24366
"402",2009,"01","083",74076,37422,36654,3762,5071,11110,10317
"403",2009,"01","085",12632,5862,6770,735,976,1981,2089
"404",2009,"01","087",22304,10248,12056,1359,1986,3919,4339
"405",2009,"01","089",314047,153350,160697,16684,21749,48446,47071
"406",2009,"01","091",21210,10018,11192,1301,1892,3647,3290
"407",2009,"01","093",29415,14523,14892,2109,3184,3886,3749
"408",2009,"01","095",87925,43166,44759,5148,7325,14118,13196
"409",2009,"01","097",405331,193903,211428,20317,29721,65827,62981
"410",2009,"01","099",22790,11041,11749,1368,1966,3898,3222
"411",2009,"01","101",224369,106825,117544,10232,16391,37018,35115
"412",2009,"01","103",115197,56523,58674,6663,9242,17266,16676
"413",2009,"01","105",10689,4921,5768,658,975,1986,1798
"414",2009,"01","107",19528,9185,10343,1302,1945,2836,2824
"415",2009,"01","109",30136,14298,15838,1618,2164,5277,5234
"416",2009,"01","111",22504,11036,11468,1521,2226,3360,3134
"417",2009,"01","113",50029,23726,26303,2745,4200,7598,7346
"418",2009,"01","115",77585,38949,38636,4292,5608,11646,10737
"419",2009,"01","117",182996,89888,93108,7316,9147,28486,27898
"420",2009,"01","119",13267,6018,7249,698,1265,2141,2124
"421",2009,"01","121",80190,39214,40976,4495,6547,11886,11512
"422",2009,"01","123",40778,19568,21210,2929,4231,5759,5757
"423",2009,"01","125",178754,86117,92637,8119,11417,29915,30797
"424",2009,"01","127",68880,33260,35620,4314,6604,9601,8977
"425",2009,"01","129",17212,8498,8714,1144,1419,2966,2289
"426",2009,"01","131",12552,5789,6763,654,1047,2281,2171
"427",2009,"01","133",24190,11921,12269,1613,2250,3457,3272
"428",2009,"02","013",2959,1965,994,51,30,289,216
"429",2009,"02","016",5505,4124,1381,110,24,578,243
"430",2009,"02","020",280389,143053,137336,8380,10466,47784,44034
"431",2009,"02","050",17151,9012,8139,437,448,3947,3571
"432",2009,"02","060",682,328,354,27,49,132,101
"433",2009,"02","068",1529,884,645,37,33,152,187
"434",2009,"02","070",4946,2565,2381,184,167,1058,974
"435",2009,"02","090",96843,51682,45161,2673,2841,18618,15887
"436",2009,"02","100",2424,1236,1188,182,210,309,241
"437",2009,"02","105",2042,1067,975,154,122,275,219
"438",2009,"02","110",30777,15605,15172,1031,1198,4807,4412
"439",2009,"02","122",53052,27632,25420,2533,2758,8183,7761
"440",2009,"02","130",13132,6537,6595,598,650,1896,2006
"441",2009,"02","150",13147,7075,6072,396,352,2567,2161
"442",2009,"02","164",1399,649,750,49,33,352,263
"443",2009,"02","170",82099,42629,39470,3040,2886,15048,13701
